country;Region indicator;Happiness score;Whisker-high;Whisker-low;Dystopia (1.92) + residual;Explained by: GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption
Finland;Western Europe;7,632100105;7,694913035;7,569287175;2,595186234;1,305095315;1,592134237;0,874453664;0,680633485;0,191638067;0,392960995
Norway;Western Europe;7,593699932;7,657077076;7,530322788;2,383241653;1,455626726;1,582339644;0,860762715;0,686420262;0,285636306;0,339687198
Denmark;Western Europe;7,555300236;7,623291519;7,487308953;2,370179176;1,351153016;1,59045279;0,867933154;0,683250785;0,284391671;0,407916993
Iceland;Western Europe;7,495200157;7,592533708;7,397866606;2,425989628;1,343301296;1,644378066;0,913802385;0,676502168;0,353233218;0,138018981
Switzerland;Western Europe;7,487299919;7,569993693;7,404606146;2,31952858;1,419727087;1,548998237;0,927075922;0,659779489;0,255525142;0,356677264
Netherlands;Western Europe;7,441299915;7,498352802;7,384247029;2,448425293;1,360908985;1,488276958;0,877710044;0,63806504;0,333357573;0,294594616
Canada;North America and ANZ;7,328499794;7,420735119;7,236264469;2,305749893;1,330411792;1,531909823;0,895845652;0,653067052;0,320637286;0,290906966
New Zealand;North America and ANZ;7,323800087;7,400651824;7,24694835;2,156167984;1,2680161;1,600624681;0,876075566;0,66886723;0,36517027;0,388840348
Sweden;Western Europe;7,314499855;7,388289562;7,240710148;2,216858387;1,355439067;1,501480818;0,913462043;0,659404278;0,284667522;0,383211881
Australia;North America and ANZ;7,272099972;7,358463353;7,18573659;2,13923645;1,339951277;1,572536349;0,910444677;0,6465258;0,361004859;0,302351892
Israel;Middle East and North Africa;7,190000057;7,256922551;7,123077563;2,816726685;1,243824124;1,432910442;0,888351381;0,46404776;0,262455672;0,081682749
Austria;Western Europe;7,139400005;7,209448002;7,069352009;2,319478035;1,341351628;1,504101515;0,891358376;0,617242217;0,242010593;0,223820001
Costa Rica;Latin America and Caribbean;7,071700096;7,159922683;6,983477509;2,910542488;1,01008594;1,458893657;0,816699386;0,631519437;0,143298998;0,100614324
Ireland;Western Europe;6,977099895;7,054669129;6,899530662;1,844297886;1,447582126;1,582634926;0,876285493;0,613965392;0,306510478;0,305818886
Germany;Western Europe;6,964700222;7,024295858;6,905104586;2,150756836;1,339619875;1,474352837;0,860524952;0,586154521;0,273495317;0,279843032
Belgium;Western Europe;6,92689991;6,994950307;6,858849513;2,215041161;1,323522449;1,482875824;0,894324601;0,582692802;0,188035458;0,240393251
Luxembourg;Western Europe;6,909900188;6,975321086;6,844479291;1,768550873;1,576079249;1,520071149;0,896179438;0,632019997;0,196052372;0,320991516
United States;North America and ANZ;6,886000156;6,974491646;6,797508667;2,227151394;1,398043036;1,470543385;0,81896168;0,547317564;0,290589094;0,133433983
United Kingdom;Western Europe;6,81430006;6,887426398;6,741173722;1,912006378;1,30131042;1,558732629;0,88321203;0,532672703;0,354325563;0,272071451
United Arab Emirates;Middle East and North Africa;6,774099827;6,844494911;6,703704743;2,095860481;1,467124581;1,295556307;0,776146173;0,669837713;0,283917755;0,185626388
Czech Republic;Central and Eastern Europe;6,71089983;6,782627581;6,639172078;2,493796349;1,233468294;1,48931849;0,854075909;0,542642355;0,063966572;0,033636838
Malta;Western Europe;6,626599789;6,709103028;6,54409655;1,783751965;1,270200729;1,524896383;0,88436687;0,645338833;0,375807524;0,142246947
France;Western Europe;6,489299774;6,568618171;6,409981377;2,027753353;1,292785048;1,466445565;0,908495009;0,520305932;0,097837918;0,175690755
Mexico;Latin America and Caribbean;6,488200188;6,580778957;6,395621419;2,794510365;1,038234591;1,252233148;0,760662675;0,479180783;0,068684451;0,0947043
Chile;Latin America and Caribbean;6,476200104;6,564830776;6,387569432;2,516591311;1,131305099;1,331020594;0,80837512;0,431229502;0,197056353;0,06061111
Taiwan Province of China;East Asia;6,440599918;6,524781255;6,356418582;2,136126518;1,3650527;1,435967922;0,857375443;0,41755861;0,150619149;0,077859499
Panama;Latin America and Caribbean;6,429999828;6,538917786;6,321081871;2,33618021;1,112200499;1,438390374;0,758799851;0,596867085;0,124509715;0,063091435
Brazil;Latin America and Caribbean;6,418900013;6,51515567;6,322644356;2,592025518;0,985896051;1,474305868;0,675137639;0,493463695;0,110258348;0,087803274
Argentina;Latin America and Caribbean;6,388000011;6,48501414;6,290985882;2,418200731;1,072670698;1,46834147;0,743585169;0,569710255;0,061942212;0,053507078
Guatemala;Latin America and Caribbean;6,381899834;6,496899297;6,26690037;2,870718718;0,781324744;1,267676473;0,608414054;0,604297757;0,178806633;0,07061436
Uruguay;Latin America and Caribbean;6,378799915;6,473619791;6,283980039;2,146977425;1,092662811;1,458792448;0,770585299;0,624857485;0,129616439;0,155334458
Qatar;Middle East and North Africa;6,374499798;6,567976612;6,181022983;1,593063354;1,649053931;1,303316832;0,748002648;0,654051006;0,256496638;0,170544922
Saudi Arabia;Middle East and North Africa;6,370900154;6,481444441;6,260355867;2,293344975;1,37876451;1,331271291;0,633422315;0,508955598;0,098344125;0,126835704
Singapore;Southeast Asia;6,343200207;6,406333143;6,280067271;1,00501585;1,529293656;1,451165438;1,00800097;0,63134557;0,261410058;0,456969857
Malaysia;Southeast Asia;6,322100163;6,47726763;6,166932695;2,506686211;1,161314368;1,25823915;0,669138253;0,356154174;0,311433196;0,059155691
Spain;Western Europe;6,309899807;6,388398778;6,231400836;1,892323017;1,250814676;1,537642956;0,964875698;0,448841244;0,141555831;0,073824756
Colombia;Latin America and Caribbean;6,260099888;6,358358504;6,161841272;2,556332588;0,960427523;1,438820958;0,635055602;0,53142637;0,098591059;0,039427783
Trinidad and Tobago;Latin America and Caribbean;6,191899776;6,416218754;5,967580799;2,148452759;1,222705722;1,492151856;0,563751519;0,575080752;0,171069846;0,018647367
Slovakia;Central and Eastern Europe;6,173399925;6,25365596;6,09314389;2,165400505;1,209889531;1,537046909;0,776140392;0,353522152;0,117602199;0,013820428
El Salvador;Latin America and Caribbean;6,166800022;6,272265425;6,061334619;2,883554459;0,805826724;1,230683088;0,638641238;0,460673451;0,065065242;0,082336806
Nicaragua;Latin America and Caribbean;6,140999794;6,255676586;6,026323002;2,590451479;0,668299377;1,319484234;0,699841559;0,526742876;0,207668081;0,128478751
Poland;Central and Eastern Europe;6,123000145;6,198494184;6,047506105;2,001663208;1,175541043;1,447832346;0,780831039;0,545728803;0,107574679;0,063860089
Bahrain;Middle East and North Africa;6,105100155;6,191403744;6,018796566;1,742861271;1,337769628;1,365639687;0,698415518;0,594379961;0,242939517;0,123062886
Uzbekistan;Commonwealth of Independent States;6,096099854;6,195826581;5,996373126;1,876936913;0,718850732;1,584426522;0,604837954;0,724477112;0,327792227;0,258747041
Kuwait;Middle East and North Africa;6,083399773;6,170639853;5,996159692;1,805193901;1,473714828;1,301490068;0,675150752;0,554281116;0,167375073;0,106181212
Thailand;Southeast Asia;6,072299957;6,160855963;5,983743951;1,902300358;1,015967965;1,417253971;0,706718862;0,637334287;0,36356768;0,029144583
Italy;Western Europe;6,000400066;6,082667406;5,918132726;1,843119144;1,264140487;1,500649333;0,946430564;0,281019121;0,13654536;0,028451035
Ecuador;Latin America and Caribbean;5,973199844;6,075886161;5,870513528;2,228079557;0,889164627;1,330140233;0,735578954;0,556145906;0,113917932;0,120153472
Belize;Latin America and Caribbean;5,955599785;6,196842251;5,714357318;2,709784746;0,806729138;1,100887775;0,474332899;0,592750669;0,182559639;0,088601567
Lithuania;Central and Eastern Europe;5,951900005;6,037180141;5,86661987;2,13000989;1,196843505;1,527135968;0,715528429;0,349856347;0,026160453;0,006355495
Slovenia;Central and Eastern Europe;5,947599888;6,042946098;5,852253678;1,52228117;1,219043612;1,506390214;0,856209993;0,632925332;0,159796268;0,050951
Romania;Central and Eastern Europe;5,945199966;6,03807688;5,852323052;2,268595219;1,115623951;1,21884048;0,726384044;0,527521133;0,087554827;0,000692289
Latvia;Central and Eastern Europe;5,933100224;6,003504887;5,86269556;2,138985634;1,148004055;1,454312205;0,670852482;0,362944931;0,091651946;0,066334702
Japan;East Asia;5,914999962;5,996720502;5,833279422;1,390034676;1,294211268;1,461601853;0,987902403;0,553002715;0,078606509;0,149674997
Mauritius;Sub-Saharan Africa;5,891499996;6,006023543;5,776976449;1,851212025;1,090139747;1,387426019;0,683879316;0,583902836;0,245021835;0,049887158
Jamaica;Latin America and Caribbean;5,889800072;6,126157321;5,653442822;2,181818962;0,818555355;1,493149638;0,693395674;0,575272679;0,096275032;0,031291649
South Korea;East Asia;5,874899864;5,967636121;5,782163608;1,979626894;1,266307473;1,204156637;0,954651773;0,244194463;0,17452009;0,051438607
North Cyprus;Western Europe;5,834799767;5,954305262;5,715294271;1,658751488;1,228815913;1,211010575;0,909132302;0,494896501;0,178680941;0,153538778
Russia;Commonwealth of Independent States;5,809700012;5,875610027;5,743789998;2,09128952;1,151096702;1,479038358;0,598529041;0,399288744;0,065056562;0,0253719
Kazakhstan;Commonwealth of Independent States;5,790100098;5,870859715;5,709340481;1,777734756;1,142621994;1,516477704;0,63131839;0,453601986;0,14759317;0,120705299
Cyprus;Western Europe;5,762499809;5,870491051;5,654508567;1,773612022;1,228815913;1,190749168;0,909132302;0,422753513;0,202494577;0,034976181
Bolivia;Latin America and Caribbean;5,751900196;5,841982734;5,661817658;2,468617439;0,751110256;1,223060489;0,50838846;0,605736494;0,141153306;0,053823192
Estonia;Central and Eastern Europe;5,739200115;5,815339256;5,663060975;1,457134247;1,200022221;1,532411098;0,73726511;0,552792966;0,08572869;0,173867464
Paraguay;Latin America and Caribbean;5,680600166;5,784226421;5,576973912;1,93228054;0,834580302;1,522085547;0,615015686;0,540538311;0,162014127;0,07404571
Peru;Latin America and Caribbean;5,663199902;5,770434774;5,555965029;2,150942564;0,933516443;1,24897778;0,674034238;0,529976726;0,091554463;0,034166649
Kosovo;Central and Eastern Europe;5,662099838;5,756766053;5,567433624;2,254913807;0,854803979;1,229784846;0,577671647;0,448167086;0,273846745;0,022960901
Moldova;Commonwealth of Independent States;5,639699936;5,711569739;5,567830132;2,65876317;0,656608582;1,300694585;0,620221078;0,232162684;0,170948491;0,000325576
Turkmenistan;Commonwealth of Independent States;5,636199951;5,69293626;5,579463642;1,91806078;1,015585542;1,532829285;0,516750038;0,416601509;0,199084967;0,037310168
Hungary;Central and Eastern Europe;5,619999886;5,69886641;5,541133361;1,974102736;1,171036124;1,40131712;0,731545448;0,25900799;0,06071233;0,022260476
Libya;Middle East and North Africa;5,565700054;5,686501103;5,444899005;1,918407679;0,985146284;1,349840999;0,552684605;0,495923817;0,115527399;0,148204535
Philippines;Southeast Asia;5,524099827;5,636811979;5,411387675;2,055793285;0,775340199;1,312372565;0,512647867;0,642839789;0,119924292;0,105176494
Honduras;Latin America and Caribbean;5,504000187;5,629628413;5,378371961;2,32779932;0,619635105;1,205193281;0,62240696;0,458619654;0,196810797;0,073580422
Belarus;Commonwealth of Independent States;5,483300209;5,557723481;5,408876937;1,684037685;1,038780689;1,497761369;0,700122237;0,307283223;0,10097497;0,154366195
Turkey;Middle East and North Africa;5,482500076;5,582560252;5,382439901;1,729440212;1,148337483;1,380445838;0,685619712;0,324275553;0,105601728;0,108782046
Pakistan;South Asia;5,472499847;5,548437267;5,396562427;2,923021317;0,652440429;0,809543192;0,423742712;0,334344774;0,216079861;0,113293156
Hong Kong S.A.R. of China;East Asia;5,430399895;5,523323283;5,337476506;0,643622398;1,405061841;1,289981604;1,029650331;0,524216652;0,246465057;0,291430533
Portugal;Western Europe;5,410399914;5,50878803;5,312011797;1,276225567;1,187514544;1,429468274;0,883593619;0,562037468;0,05491117;0,016621582
Serbia;Central and Eastern Europe;5,398200035;5,498731279;5,297668791;1,904704571;0,974698424;1,369261622;0,684971571;0,287865788;0,133780435;0,042898074
Greece;Western Europe;5,357900143;5,455944888;5,259855397;1,948159695;1,153800607;1,20191443;0,878591657;0,130929098;0;0,044465058
Tajikistan;Commonwealth of Independent States;5,352499962;5,433539996;5,271459928;2,248433352;0,474139273;1,178975344;0,597869098;0,503496766;0,214078605;0,135537103
Montenegro;Central and Eastern Europe;5,347499847;5,450101371;5,244898324;1,869539738;1,017278433;1,279393196;0,729212582;0,259270102;0,11140763;0,081446901
